Topic,Words
Topic 105,"jersey: 0.03567, thank: 0.01793, jeffrey: 0.01789, praise: 0.01609, pleasure: 0.01583, trump: 0.0154, chairwoman: 0.01325, cheering: 0.01325, vine: 0.01281, divisive: 0.01281"
Topic 106,"champion: 0.1133, think: 0.04296, learn: 0.02963, essence: 0.02273, like: 0.02269, proportion: 0.02218, learning: 0.02108, focusing: 0.0176, resilient: 0.01604, ches: 0.01557"
Topic 107,"drug: 0.08771, prescription: 0.07364, pharma: 0.06887, price: 0.06698, lowering: 0.03711, pricing: 0.03022, lower: 0.02775, clause: 0.02516, companie: 0.0191, favor: 0.01611"
Topic 108,"great: 0.07766, awesome: 0.06041, : 1e-05, : 1e-05, : 1e-05, : 1e-05, : 1e-05, : 1e-05, : 1e-05, : 1e-05"
Topic 109,"arizona: 0.20276, phoenix: 0.10786, johnny: 0.03821, mesa: 0.0209, mogul: 0.01883, venue: 0.01548, departing: 0.01361, heading: 0.01318, wednesday: 0.01196, changing: 0.01141"
Topic 110,"weiner: 0.23778, anthony: 0.14481, pervert: 0.13113, spitzer: 0.12414, eliot: 0.07239, sexting: 0.05796, wiener: 0.0515, sick: 0.03289, puppy: 0.02616, danger: 0.02609"
Topic 111,"rosie: 0.30505, donnell: 0.08208, arianna: 0.0357, view: 0.02733, rude: 0.01785, rating: 0.01666, talent: 0.01579, oprah: 0.0156, cher: 0.0156, crude: 0.01536"
Topic 112,"back: 0.05537, bring: 0.03322, walk: 0.02538, disappear: 0.02444, sometime: 0.02332, hiding: 0.02316, reil: 0.0227, hide: 0.02228, turn: 0.02042, round: 0.01881"
Topic 113,"lobbyist: 0.11549, interest: 0.04945, self: 0.04856, special: 0.0401, funding: 0.03963, donor: 0.03563, koch: 0.02723, puppet: 0.02465, paid: 0.01989, campaign: 0.01948"
Topic 114,"estate: 0.14857, buyer: 0.04438, residential: 0.03103, location: 0.0278, housing: 0.02704, property: 0.02523, market: 0.02352, real: 0.02035, bank: 0.01934, mortgage: 0.01653"
Topic 115,"email: 0.15713, server: 0.0373, clinton: 0.03376, hillary: 0.02792, crook: 0.02242, mail: 0.02135, huma: 0.0204, scandal: 0.01794, podesta: 0.01636, bombshell: 0.01581"
Topic 116,"discussing: 0.09251, interview: 0.07815, hiring: 0.02588, wmur: 0.02175, german: 0.01966, segment: 0.01705, option: 0.0136, volker: 0.0122, carpet: 0.0122, ground: 0.01179"
Topic 117,"michigan: 0.18491, grand: 0.02679, rapid: 0.02182, karen: 0.01501, expanding: 0.0131, detroit: 0.01274, movement: 0.0126, auto: 0.01241, pouring: 0.011, snyder: 0.01021"
Topic 118,"ivanka: 0.2664, daughter: 0.10936, bahia: 0.08075, classic: 0.01475, birth: 0.01256, father: 0.01237, mother: 0.01087, ador: 0.01068, lara: 0.01033, transfer: 0.01033"
Topic 119,"maga: 0.17129, thank: 0.02551, chaffetz: 0.01769, village: 0.01642, schultz: 0.01545, theresa: 0.01518, donna: 0.01492, charlie: 0.01385, parade: 0.01367, houston: 0.01287"
Topic 120,"enjoy: 0.17808, interview: 0.13167, tonight: 0.117, ingraham: 0.07345, laura: 0.0713, hilton: 0.04373, steve: 0.03031, tapper: 0.01836, minute: 0.01835, game: 0.01831"
Topic 121,"book: 0.11133, charlie: 0.0413, copy: 0.04096, kimberley: 0.0281, lawrence: 0.02678, rich: 0.01802, author: 0.01753, lesson: 0.01722, read: 0.01563, study: 0.01465"
Topic 122,"star: 0.106, season: 0.09457, filming: 0.07028, cast: 0.06263, upcoming: 0.0582, return: 0.05074, popular: 0.03463, feature: 0.02952, competing: 0.02747, demand: 0.02661"
Topic 123,"hispanic: 0.176, latino: 0.08214, community: 0.01685, heritage: 0.01522, among: 0.01507, black: 0.01478, univision: 0.01262, approval: 0.00992, poll: 0.0099, folk: 0.00963"
Topic 124,"video: 0.08521, youtube: 0.04195, flashback: 0.02734, espn: 0.02486, stream: 0.02406, facebook: 0.02289, donald: 0.02004, norfolk: 0.01787, clip: 0.0122, radio: 0.0115"
Topic 125,"voting: 0.09093, vote: 0.09085, heartbeat: 0.08122, booth: 0.05532, rooting: 0.04949, definite: 0.0453, thom: 0.03071, shoe: 0.02707, endless: 0.02707, lane: 0.02707"
Topic 126,"think: 0.08716, team: 0.04952, thinking: 0.04644, choose: 0.03107, folk: 0.0295, alexander: 0.02665, significance: 0.02577, give: 0.02504, hamilton: 0.02501, assignment: 0.02375"
Topic 127,"vote: 0.05537, station: 0.02221, mail: 0.01723, mower: 0.01625, legal: 0.01621, photo: 0.01615, voting: 0.01603, register: 0.01589, owner: 0.01564, challenge: 0.01549"
Topic 128,"america: 0.02158, american: 0.02143, together: 0.01973, spirit: 0.01781, fellow: 0.01529, harri: 0.01496, ahead: 0.01409, showcase: 0.01352, azar: 0.01352, choke: 0.01352"
Topic 129,"greta: 0.29779, donna: 0.03508, interview: 0.03366, sony: 0.02856, knight: 0.01859, tonight: 0.01827, tina: 0.01477, piss: 0.01428, kimber: 0.01386, tonite: 0.01386"
Topic 130,"lago: 0.16009, palm: 0.13019, beach: 0.12148, invitational: 0.06333, mansion: 0.04543, miami: 0.04364, club: 0.03954, acre: 0.0356, boast: 0.02501, jewel: 0.02501"
Topic 131,"nevada: 0.23831, reno: 0.10353, vega: 0.0703, henderson: 0.03312, spark: 0.03203, join: 0.02014, maga: 0.017, ticket: 0.01293, wednesday: 0.01222, lasting: 0.01104"
Topic 132,"chicago: 0.18661, sign: 0.06413, building: 0.02194, card: 0.02147, rhino: 0.02125, youth: 0.01554, love: 0.01525, tower: 0.01426, loving: 0.01262, signage: 0.01099"
Topic 133,"farmer: 0.11597, rancher: 0.08339, food: 0.06572, usda: 0.04311, farm: 0.03767, requirement: 0.03106, producer: 0.02621, ethanol: 0.02587, supp: 0.02288, rural: 0.02193"
Topic 134,"mccain: 0.23982, john: 0.04757, veteran: 0.01487, lousy: 0.01475, print: 0.01446, romney: 0.01251, fail: 0.01123, arizona: 0.011, hoping: 0.01079, phoenix: 0.01079"
Topic 135,"dorian: 0.1561, atlantic: 0.10746, hurricane: 0.10309, storm: 0.06253, surge: 0.06012, threatening: 0.049, category: 0.04778, advisory: 0.04727, tropical: 0.04565, wind: 0.03666"
Topic 136,"afghanistan: 0.15334, taliban: 0.09824, afghan: 0.04337, karzai: 0.04325, reduction: 0.02802, rebuild: 0.02299, soldier: 0.02269, troop: 0.02026, iraq: 0.01893, wasting: 0.01827"
