Topic,Words
Topic 91,"honor: 0.05521, academy: 0.04011, award: 0.02783, clas: 0.02032, tribute: 0.01846, flyover: 0.01786, receiving: 0.01649, host: 0.01546, army: 0.01429, offering: 0.01415"
Topic 92,"celebrity: 0.15249, apprentice: 0.12063, celeb: 0.05112, season: 0.02894, wait: 0.02638, finale: 0.01678, loving: 0.01515, casting: 0.01504, watching: 0.01446, rooting: 0.01374"
Topic 93,"republican: 0.02699, party: 0.021, democrat: 0.02029, stake: 0.01311, phrase: 0.01203, stick: 0.00976, ball: 0.00912, conservative: 0.0082, disarray: 0.00785, suffolk: 0.00785"
Topic 94,"weiner: 0.18781, pervert: 0.13264, anthony: 0.11912, spitzer: 0.11258, eliot: 0.07768, sexting: 0.05472, wiener: 0.04252, sexual: 0.03212, sick: 0.027, alert: 0.02433"
Topic 95,"alway: 0.10305, smile: 0.01774, seldom: 0.01485, inspire: 0.01324, truth: 0.01246, interesting: 0.01217, point: 0.01125, dodge: 0.01103, birther: 0.01103, caleb: 0.01066"
Topic 96,"pennsylvania: 0.1346, johnstown: 0.02732, hershey: 0.02642, rhode: 0.02564, pittsburgh: 0.02286, philadelphia: 0.02068, penn: 0.01731, erie: 0.01709, landing: 0.01654, island: 0.01551"
Topic 97,"apologize: 0.13894, apology: 0.09757, apologizing: 0.03715, offend: 0.02874, paula: 0.02589, espn: 0.01381, apologie: 0.01238, bravo: 0.01214, sharpton: 0.0115, admitting: 0.01026"
Topic 98,"anthem: 0.1155, flag: 0.08509, player: 0.04314, kneeling: 0.03896, disrespect: 0.03648, kneel: 0.02435, stand: 0.02357, national: 0.02197, knee: 0.01817, tall: 0.01781"
Topic 99,"champion: 0.10237, think: 0.04056, essence: 0.02764, learn: 0.02471, positive: 0.02173, like: 0.02114, learning: 0.01917, creative: 0.01859, thinking: 0.01832, goal: 0.01717"
Topic 100,"drug: 0.08517, prescription: 0.07374, pharma: 0.06356, price: 0.06008, lowering: 0.0311, pricing: 0.0279, lower: 0.02545, clause: 0.02325, companie: 0.01749, patient: 0.01725"
Topic 101,"president: 0.09328, bannon: 0.0474, victoria: 0.0474, kyle: 0.046, presidency: 0.03786, kilmeade: 0.03077, smith: 0.02968, asap: 0.02871, mask: 0.02826, ryan: 0.02544"
Topic 102,"mida: 0.25497, touch: 0.21357, brand: 0.03631, entrepreneur: 0.03328, valu: 0.02129, acquire: 0.01503, asset: 0.01437, busines: 0.01136, music: 0.01125, connect: 0.01097"
Topic 103,"omarosa: 0.33636, ilhan: 0.03621, omar: 0.03295, firework: 0.02834, merger: 0.01952, strategic: 0.01704, boardroom: 0.0161, presentation: 0.01594, meltdown: 0.0157, wacky: 0.01547"
Topic 104,"interview: 0.0706, gardner: 0.01751, karen: 0.01328, exclusive: 0.01134, watch: 0.01014, terrific: 0.00985, ambush: 0.00905, unpatriotic: 0.00905, brilliance: 0.00905, hashtag: 0.00875"
